;Locations;Frequency_locations
647;Presidio Church at 130 Fisher Loop;1
648;Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street);1
649;Spofford between Washington and Clay;1
650;Spofford between Clay and Washington;1
651;Sparky's Diner, 242 Church Street;1
652;Southern Pacific Memorial Hospital (1400 Fell Street);1
653;South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets);1
654;South Park;1
655;Sound Factory (1st and Harrison Streets);1
656;Silver Restaurant (737 Washington Street, Chinatown);1
657;San Francisco Zoo (2701 Sloat Blvd.);1
658;Shotwell St btwn 20th and 21st St;1
659;Sheraton Palace Hotel (2 Montgomery Street, Financial District);1
660;Scott St between Jackson and Clay St;1
661;Sansome Street (The Embarcadero);1
662;Sansome (Washington to Bush) Pine (Davis to Kearny) Bush: Kearny to Battery;1
663;Sanchez/Cumberland steps and sidewalks;1
664;San Remo Hotel (2237 Mason);1
665;Sacramento & Montgomery Streets;1
666;Sacramento & Hyde Streets (Nob Hill);1
667;Sacramento & Front St.;1
668;Rainforest Café (145 Jefferson Street);1
669;Regency Building (1290 Sutter Street);1
670;Red's Java House (Pier 30);1
671;Red Building, 2567 Mission St;1
672;Real Guitars;1
673;Raw Hide II (280 Seventh Street);1
674;Randall Museum;1
675;Ramada Plaza Hotel Downtown (1231 Market Street, Civic Center);1
676;Punjab Café, 838 24th St.;1
677;SPECS' Twelve Adler Museum Café;1
678;Punjab;1
679;Public Health Service Hospital (Presidio, Golden Gate National Recreation Area);1
680;Prudente's Italian Deli (1462 Grant Ave at Union);1
681;Project Artaud (Florida Street);1
682;Private alley along 20th St. between Tennessee and Minnesota;1
683;Presidio, Golden Gate National Recreation Area;1
684;Presidio Heights Neighborhood;1
685;Ritz-Carlton Hotel (600 Stockton Street);1
686;Roaring Twenties Nightclub (555 Broadway at Columbus);1
687;Rocco's Corner (Columbus Street);1
688;Romain St.;1
689;SFPD Headquarters - 3rd St;1
690;SFO International Airport Terminal 3;1
691;SF Zoo, 2945 Sloat Blvd;1
692;SF War Memorial Opera House;1
693;SF City Hall Polk Street Steps;1
694;SF Chronicle Building (901 Mission St);1
695;S.S. Jeremiah O'Brien;1
696;S. Van Ness;1
697;Russian Hill;1
698;Royan Hotel (405 Valencia Street, Mission District);1
699;Roxie Theater (3117 16th St.);1
700;Ross Alley (Chinatown);1
701;Roof of Cable Car (California at Front Street);1
702;Romolo St and Fresno Pl;1
703;Romolo Place @ Fresno St.;1
704;Haight between Central and Ashbury St;1
705;Grant Ave btwn Pine and Jackson;1
706;Haight and Belvedere;1
707;422 Oak Street at Laguna;1
708;520 Castro St.;1
709;516 Green Street;1
710;510 Noe Street & 18th St.;1
711;504 Broadway;1
712;500 Grove Street;1
713;500 Cortland Avenue;1
714;500 Block of Pacific Avenue (Chinatown);1
715;50 California Street;1
716;490 Geary St;1
717;475 Diamond St.;1
718;4704 3rd St;1
719;440 Castro St.;1
720;435 Broadway;1
721;435 23rd Street at Illinois;1
722;433 Baker Street,;1
723;430 Vallejo Street (Telegraph Hill);1
724;426 Castro St.;1
725;520-522A Green Street at Grant Street;1
726;53 Potomac St;1
727;535 Octavia Street;1
728;600 Octavia Street;1
729;66 Danton St;1
730;651 Brannan Street;1
731;634 Raycliff Terrace;1
732;628 Cole Street;1
733;610 Rhode Island Street (Potrero Hill);1
734;601 Buena Vista West;1
735;601 Buena Vista Ave West at Java St.;1
736;600 Niagara Ave;1
737;544 Jones;1
738;60 Spear Street;1
739;5th and Beale Streets;1
740;555 Market St.;1
741;555 California;1
742;5546 Geary Ave;1
743;550 El Camino Del Mar (Seacliff);1
744;544 Natoma (SOMA);1
745;424 Sansome Street;1
746;420 Mason St.;1
747;67 Deming Street;1
748;420 Jones St. at Ellis St.;1
749;3567 18th Street;1
750;3563 20th St.;1
751;350 Union Street;1
752;350 Santa Ana Ave.;1
753;343 Union Street;1
754;3355 Geary Blvd.;1
755;333 Pacheco St at Lopez Ave.;1
756;330 Santa Clara Ave.;1
757;33 Spruce St;1
758;33 Dearborn St;1
759;3232 Jackson Ave.;1
760;32 Napier Lane;1
761;3189 16th St;1
762;314 11th Street;1
763;3139 16th St;1
764;312 Fillmore Street;1
765;3079 16th Street;1
766;363 Lyon St;1
767;3639 Taraval St;1
768;3650 21st Street;1
769;3rd Street between Market & Harrison;1
770;42 Walter Street;1
771;415 Lyon St/355 Lyon St;1
772;411 Shrader St.;1
773;4100 20th St;1
774;4015 21st St;1
775;400 Montgomery Street;1
776;40 Prentiss Street;1
777;3rd St btwn Evans and Oakdale;1
778;369 Embarcadero;1
779;391 Pennsylvania Avenue at 19th Street;1
780;387 Fair Oaks at 25th Street;1
781;386 4th Ave;1
782;375 Laguna Honda Blvd.;1
783;375 Castro St. and 17th between Castro and Diamond St.;1
784;373 Columbus Avenue;1
785;372/374 Pennsylvania Avenue;1
786;66 Potomac;1
787;67-69 Deming St.;1
788;3050 24th Street;1
789;887 De Haro Street;1
790;AT&T Park;1
791;970 Geary Street;1
792;959 South Van Ness Ave;1
793;951 Hudson Avenue;1
794;950 Mason Street;1
795;940 Powell St.;1
796;923 Vermont St.;1
797;915 Naples, San Francisco;1
798;911 Innes Ave;1
799;901/909Tennessee St.;1
800;901 Valencia Street;1
801;901 Union Street;1
802;901 Missouri Street;1
803;900 Lombard Street;1
804;900 Innes Ave;1
805;900 Block of Grant Avenue (Chinatown);1
806;90 Gold Street;1
807;AT&T Stadium;1
808;Ada Court at O'Farrell St;1
809;Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd.;1
810;American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets);1
811;Atlas Café, 3049 20th St.;1
812;Asia Star Fantasy, 1126 Grant Ave.;1
813;Antonio Alley;1
814;Another Café, 1191 Pine St at Leavenworth;1
815;Andronico's, 1200 Irving Street;1
816;Andrew S. Hallidie Plaza (Market & Powell Streets);1
817;American Roofing Co. Building (297 Kansas Street, Potrero Hill);1
818;Always Open Car Wash, 2560 Marin Street;1
819;Aladdin Terrace (off of Taylor Street, Between Filbert and Union);1
820;Alta Plaza Park;1
821;Alioto Park;1
822;Alcoa Building (1 Maritime Plaza);1
823;Alco Plaza;1
824;Albert S. Samuels Clock (856 Market Street between Powell and Stockton);1
825;Alamo Square Park;1
826;Alamo Square (Hayes Valley);1
827;9 Calhoun Terrace;1
828;883 42nd Ave.;1
829;679 Madrid St;1
830;878-898 Chestnut St.;1
831;745 Treat Ave.;1
832;745 Treat Ave;1
833;738 Washington St;1
834;731 Grant Avenue;1
835;724 Larkin St;1
836;724 Brazil Avenue;1
837;722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley);1
838;722 Steiner Street;1
839;720 Steiner Street (Hayes Valley);1
840;717 Grant Ave;1
841;710 Steiner Street (Hayes Valley);1
842;700 Kansas St.;1
843;700 Block of Jackson Street (Chinatown);1
844;700 Block of Grant Ave.;1
845;6th Street On-ramp to Highway 280;1
846;68 Dublin St;1
847;68 Division Street;1
848;75 California Street;1
849;755 Vallejo Street;1
850;766 Sutter Street;1
851;802 Steiner St;1
852;87 Cervantes Blvd (beach);1
853;850 Bryant- 6th floor County Jail;1
854;835-865 Market Street at 5th Street;1
855;83 Watchman Way;1
856;82 & 67 Rico Way (Marina District);1
857;819 Mason Street at Pine;1
858;812 22nd St. and Tennessee;1
859;801 Innes Ave;1
860;766 Vallejo St;1
861;800 Bay Street;1
862;790 Ulloa;1
863;788 Minna St;1
864;772 Commercial Street at Kearney;1
865;770 Haight St.;1
866;770 Haight St;1
867;766 Vallejo Street at Stockton Street (North Beach);1
868;307 Filbert Street;1
869;305 Hugo Street;1
870;Haight St. at Central;1
871;1201 Columbus Avenue;1
872;1559 Underwood Avenue between Lane and Keith;1
873;1541 Grove Street;1
874;1536 Noe St.;1
875;1521 Masonic Avenue at Piedmont Street;1
876;15-17 Fresno Street;1
877;1465 Revere Avenue between Keith and Jennings;1
878;1462 Grant Avenue, at Union Street;1
879;1461 Page St.;1
880;1458 33rd Ave.;1
881;145 Barlett St.;1
882;145 9th St;1
883;1400 18th Street;1
884;140 Maiden Lane;1
885;1375 Haight St.;1
886;1328 Portola;1
887;13 Lucky Street;1
888;1243 19th Street;1
889;157 Commonwealth;1
890;15th St. between Vermont and Kansas;1
891;160 Church Street;1
892;18 Urbano;1
893;18th Street between Guerrero and Valencia Streets;1
894;18th Street Overpass (Potrero Hill);1
895;18th St at San Bruno Ave.;1
896;1890 Clay St.;1
897;1821 Alabama Street;1
898;1801 Laguna at Bush;1
899;180 Manchester Street;1
900;17th and Arkansas;1
901;1601 Lane St.;1
902;17th & Market Street;1
903;16th and Utah;1
904;16th St.;1
905;16th Avenue Steps;1
906;1653 Haight and 1400-1500 blocks of Haight St;1
907;1641 York Street;1
908;1627 Haight Street;1
909;1227 Montgomery Street (Telegraph Hill);1
910;1200 Washington Street at Taylor Street;1
911;1901 Ocean Ave. at Ashton Ave.;1
912;119 Utah;1
913;101 Henry Adams Place, 4th Floor;1
914;101 Henry Adams Place;1
915;1007 Gough Street;1
916;1001 Vallejo St;1
917;1000 Mason St.;1
918;100 St. Germain Avenue;1
919;100 Market Street at 6th Street;1
920;100 Embarcadero Street;1
921;100 Church Street;1
922;100 Block of Union Street (Cow Hollow);1
923;100 Block of Lombard Street;1
924;100 Alemany Blvd.;1
925;1 Urbano;1
926;1 Post Street;1
927;1 Montgomery Street at Post;1
928;1 Market St. Landmark Building;1
929;1 Bush Street;1
930;1018 Tennessee St.;1
931;1055 Montgomery St.;1
932;1059 Texas Street;1
933;1125 Guerrero Street;1
934;1167 Alabama Street;1
935;1160 Taylor Street;1
936;1158-70 Montgomery Street;1
937;1155 Filbert Street at Hyde;1
938;1153-57 Taylor Street;1
939;1138 Filbert Street;1
940;1138 Alabama St;1
941;1122 Folsom Street;1
942;1069 Tennessee Street;1
943;1119 Alabama Street;1
944;1111 California Street;1
945;1101 Green St;1
946;1101 Filbert St.;1
947;11 San Jacinto Ave.;1
948;10th Street between Market & Mission;1
949;1080 Natoma Street;1
950;19 Green Street (North Beach);1
951;1954 Mason Street (North Beach);1
952;304 Lily St.;1
953;2340 Francisco Street;1
954;2633 Vallejo Street;1
955;2632 Larkin Street at Lombard;1
956;2601 Lyon Street;1
957;2552 Hyde Street;1
958;253 4th Ave.;1
959;24th and Church St.;1
960;24th and Castro Streets (Noe Valley);1
961;24th Street between Mission Street and Potrero Avenue;1
962;24th Street between Folsom and Harrison Streets;1
963;24th Street Mini Park (Mission District);1
964;24th St. between Florida and Alabama;1
965;24th Between Portrero & Alabama;1
966;2450 Harrison Street;1
967;2417 Franklin Street;1
968;2413 Harrison St.;1
969;24 Hill St.;1
970;23rd & Iowa Streets (Dogpatch);1
971;26th Ave and El Camino Del mar;1
972;2751 Mission St;1
973;280 Freeway at Pennsylvania and Mariposa Streets;1
974;2937 24th Street;1
975;3033 24th Street;1
976;303-305 S. Van Ness;1
977;301 Howard Street;1
978;2nd St. at Townsend St.;1
979;2nd St & Howard;1
980;29th and Dolores Street;1
981;298 11th St;1
982;2934 24th St.;1
983;2800 Scott Street;1
984;2930 Vallejo Street;1
985;2930 3rd Street;1
986;2915 16th St.;1
987;2898 Vallejo Street;1
988;2898 Broadway;1
989;2866 24th St.;1
990;2810 Pacific Avenue;1
991;23rd & Capp Streets (Mission District);1
992;22nd and Carolina Streets (Potrero Hill);1
993;1958 Valencia St.;1
994;22nd St.;1
995;20th St and Church (3885 20th St);1
996;20th & Vermont Streets (Potrero Hill);1
997;20th & De Haro Streets (Potrero Hill);1
998;20th & Connecticut Streets (Potrero Hill);1
999;20th;1
1000;2090 Jackson Street;1
1001;2017 23rd Street;1
1002;2007 Franklin Street;1
1003;2000 Folsom;1
1004;200 block Market Street;1
1005;200 Post St.;1
1006;200 Kansas St.;1
1007;200 Block of Sansome Street (Financial District);1
1008;20 Hill Street;1
1009;19th and Kansas St.;1
1010;19th Ave Home;1
1011;198 Gough Street;1
1012;20th St and Illinois/Faxon St. and Kenwood/Glenbrook at Mt. Springs;1
1013;20th St between Church and Dolores St;1
1014;20th and Folsom Streets;1
1015;21st and Sanchez St;1
1016;22nd Bet. Carolina & Rhode Island Streets (Potrero Hill);1
1017;22nd Avenue & Balboa Street (Richmond District);1
1018;22nd Ave Home;1
1019;22nd & Wisconsin Streets (Potrero Hill);1
1020;225 California Street;1
1021;2230 Sacramento Street;1
1022;222 Mason St.;1
1023;21st and Collingswood St.;1
1024;2100 Green Street;1
1025;21st St & Sanchez;1
1026;2190 Washington Street (Pacific Heights);1
1027;2179 48th Ave;1
1028;2178 Palou Ave.;1
1029;2107 Union Street;1
1030;2104 Broadway;1
1031;2100 Pacific Ave at Laguna St;1
1032;Aub Zam Zam Bar;1
1033;BART Station @ 16th Street & Mission Streets;1
1034;BART from Civic Center to 24th St.;1
1035;Embarcadero & Washington;1
1036;Epic Steakhouse, 369 Embarcadero;1
1037;Epic Roasthouse (399 Embarcadero);1
1038;Epic Roasthouse;1
1039;Enrico's Café (504 Broadway);1
1040;Encore Karaoke, 1550 California Street;1
1041;Embarcadero from Broadway to Folsom;1
1042;Embarcadero btwn Folsom and Bryant;1
1043;Embarcadero between Pier 2 and Harrison;1
1044;Embarcadero between Market to Fillmore St;1
1045;Embarcadero between Harrison and Folsom St;1
1046;Embarcadero between Bay and Chestnut St;1
1047;Embarcadero at Vallejo St.;1
1048;Embarcadero at Lombard St.;1
1049;Embarcadero at Harrison St;1
1050;Embarcadero around Rincon Park;1
1051;Embarcadero Street at Washington Street;1
1052;Embarcadero Street Station- BART;1
1053;Ernie's Restaurant (847 Montgomery Street);1
1054;Eros;1
1055;Esta Noche, 3079 16th Street;1
1056;Filbert & Leavenworth Streets;1
1057;Filbert and Kearny Steps;1
1058;Filbert Steps, Filbert Street;1
1059;Filbert St. from Jones to Mason;1
1060;Filbert St. from Hyde to Leavenworth;1
1061;Filbert St. & Leavenworth;1
1062;Filbert St at Stockton St;1
1063;Filbert & Taylor Streets (Russian Hill);1
1064;Fiesta Laundromat (898 S. Van Ness Ave., Mission);1
1065;Eureka Arts Center, 4400 20th St.;1
1066;Ferry Plaza;1
1067;Farley's Café (1315 18th Street Near Missouri);1
1068;Fairmont Hotel - Penthouse Suite;1
1069;Fairmont Hotel;1
1070;F Train;1
1071;Evans Ave/Hunters Pt Bvld btwn Keith and Hawes St;1
1072;Europa Café (4318 California St. and 5th Ave.);1
1073;Embarcadero Street;1
1074;Embarcadero & Market;1
1075;Filbert between Hyde and Jones;1
1076;Ellis and Jones St.;1
1077;Divisadero between Broadway and Greenwich;1
1078;Delores Park;1
1079;Davies Symphony Hall (201 Van Ness Ave.);1
1080;Dante Building (1606 Stockton Street at Union);1
1081;Daniel's Pharmacy, 943 Geneva Ave.;1
1082;Daniel's Pharmacy, 943 Geneva Ave;1
1083;Cybelle's Pizza (1000 Bush Street);1
1084;Curran Theater (445 Geary Street);1
1085;Crissy Field;1
1086;Cow Palace;1
1087;Cost Plus World Market (2552 Taylor Street);1
1088;Corona Heights Park;1
1089;Cordova Market, 301 Rolph Street, San Francisco;1
1090;Corbett St.;1
1091;Conzelman Rd at McCollough Rd and down Conzelman Rd.;1
1092;Contemporary Jewish Museum;1
1093;Construction Site in front of 260 Stockton St. at Post St.;1
1094;Doc's Clock;1
1095;Doc's Clock, 2575 Misison Street;1
1096;Dolores Park, 20th St. between Church & Dolores St.;1
1097;Eber Electronics (2355 Market Street, Castro);1
1098;Ellis Food Center, 398 Ellis;1
1099;Ele Nino Traiing Cetner, 2920 3rd Street;1
1100;Elbo Room (647 Valencia Street);1
1101;El Camino Del Mar;1
1102;Eddy St btwn Leavenworth and Hyde St;1
1103;Eddy @ Polk Street;1
1104;Eddy & Taylor St.;1
1105;E Tutto Qua Restaurant (270 Columbus St.);1
1106;Dolores Park, San Francisco;1
1107;Duncan St at Diamond Heights;1
1108;Duboce between Buena Vista East and Alpine St;1
1109;Duboce St., Duboce Café;1
1110;Driving various SF Streets;1
1111;Driving around Taylor/Pacific/Leavenworth;1
1112;Double Happiness Health, 3380 20th Street;1
1113;Donahue and Innes Ave;1
1114;Filbert between Grant and Kearny;1
1115;Filbert between Leavenworth and Hyde;1
1116;Balboa at 22nd Avenue;1
1117;Ghirardelli Square (900 North Point Street, Fisherman's Wharf);1
1118;Grant Ave from Sacramento to Clay;1
1119;Grant Ave btwn Washington and Jackson;1
1120;0-100 block Halleck Street;1
1121;Grant Ave btwn Clay and Jackson;1
1122;Grant Ave btwn California and Clay;1
1123;Grant Ave at Green St;1
1124;Grant & Washington St.;1
1125;Grand View Ave.;1
1126;Grace Cathedral, 1100 California St.;1
1127;Gough Street & Clay Street;1
1128;Gough & Eddy Streets (Western Addition);1
1129;Golden Gate Music Concourse;1
1130;Golden Gate Ave & Jones;1
1131;Golden Gate & Steiner Streets (Hayes Valley);1
1132;Golden Dragon Restaurant (816 Washington Street at Grant);1
1133;Glide Memorial Church (434 Ellis St);1
1134;Glen Park Subway Station;1
1135;Grant Avenue (North Beach);1
1136;Grant Avenue between Clay and Washington Streets;1
1137;Grant Avenue between Sacramento and Washington;1
1138;Green Valley Restaurant (510 Green Street Near Grant);1
1139;Haight St at Masonic;1
1140;Haight St at Ashbury St;1
1141;Grove & Polk, thru Fulton & 6th, Masonic, 28th & 47th;1
1142;Greenwich St at Battery St;1
1143;Green btwn Jasper and Bannam;1
1144;Green between Kearny and Montgomery;1
1145;Green and Divisadero;1
1146;Green St. & Grant Ave.;1
1147;Grant St. at Bush St.;1
1148;Green & Laguna Streets;1
1149;Grant between Union and Green;1
1150;Grant between Sacramento and Jack Kerouac Alley;1
1151;Grant between California and Washington;1
1152;Grant between Bush and Market;1
1153;Grant and Green St;1
1154;Grant Street at Pacific Avenue;1
1155;Gibb Street (Chinatown);1
1156;George Washington High School (600 32nd Avenue );1
1157;Filbert from Hyde to Leavenworth;1
1158;Geary from 22nd Ave to Arguello;1
1159;Foote, Cone & Belding (733 Front Street at Pacific);1
1160;Folsom btwn Cortland and Eugenia Ave;1
1161;Folsom Street Fair on Folsom St.;1
1162;Folsom Street (SOMA);1
1163;Folsom Street & Embarcadero;1
1164;Folsom & Essex Streets;1
1165;Folsom;1
1166;Fog City Diner (1300 Battery Street);1
1167;Flood Building (870 Market Street);1
1168;Flint & 16th (Castro);1
1169;Fisherman's Wharf pier near Chapel (Port Walk #19);1
1170;First Bank (550 Montgomery Street at Commercial);1
1171;Firestation #38 (California & Laguna);1
1172;Firestation #3 (Brazil Avenue and Athens Street);1
1173;Fior d' Italia (601 Union Street at Stockton);1
1174;Fillmore between Haight and Waller;1
1175;Fillmore and Waller;1
1176;Ford's Grocery Store, 1496 Oakdale Ave;1
1177;Foreign Cinema (2534 Mission);1
1178;Forest Hill MUNI Station;1
1179;Fulton St at Larkin St;1
1180;Geary St. from Polk to Larkin;1
1181;Geary St at Leavenworth St;1
1182;Geary St - Hyde St - Ellis St;1
1183;Geary & 27th Ave;1
1184;Geary & 20th Ave;1
1185;Gaspare's Pizza House (5546 Geary Blvd.);1
1186;Gabbiano's Restaurant (Ferry Building);1
1187;Front St. between Market and Clay;1
1188;Forest Hill Station- MUNI;1
1189;Fremont Street Exit of Bay Bridge;1
1190;Francisco St from Larkin to Polk;1
1191;Fort Point, Presidio;1
1192;Fort Mason (Golden Gate National Recreation Area);1
1193;Fort Funston;1
1194;Fort Baker;1
1195;Forrest Hill Muni Station;1
1196;Condor Club (Columbus and Broadway);1
1197;Columbus between Filbert and Lombard St;1
1198;Columbus between Bay and Washington;1
1199;Broadway and Columbus Avenue (North Beach);1
1200;Bush St at Mason St;1
1201;Bush & Kearny;1
1202;Burritt Alley (Off Bush Street, between Powell and Stockton Streets);1
1203;Burger Island (901 3rd Street, China Basin);1
1204;Building 924, Presidio (Golden Gate National Recreation Area);1
1205;Buena Vista betweeen Upper Terrace and Java St.;1
1206;Buena Vista Park (Haight Street at Buena Vista);1
1207;Buena Vista Park;1
1208;Buena Vista East btwn Duboce and Haight;1
1209;"Buena Vista East & Duboce; Buena Vista East & Haight";1
1210;Buena Vista Café (2765 Hyde Street);1
1211;Broderick from Fulton to McAlister;1
1212;Broadway, Between Franklin & Laguna Streets;1
1213;Broadway from Mason to Taylor;1
1214;Broadway between Powell and Davis;1
1215;Broadway at Osgood Street (North Beach);1
1216;Broadway and Taylor St Intersection;1
1217;Bush St. at Stockton St.;1
1218;Bush Street (between Grant & Kearny Streets);1
1219;Bush Street at Jones;1
1220;Cala Foods (California Street and Hyde);1
1221;California Hall (625 Polk Street, Van Ness/Civic Center);1
1222;California Cable Car Line;1
1223;California @ Montgomery;1
1224;California & Powell;1
1225;California & Larkin Streets (Nob Hill);1
1226;California & Hyde Streets;1
1227;California & Grant Streets;1
1228;Cal-Mart Supermarket;1
1229;Bush and Sansome St.;1
1230;Café Trieste (609 Vallejo);1
1231;Café Picaro 3120 16th Street;1
1232;Café Cantata (2040 Union Street);1
1233;Caffe Trieste;1
1234;Cable Car Signal Box (California Street at Powell Street);1
1235;CCSF Alemany Campus;1
1236;Bush and Sutter Streets;1
1237;Broadway and Kearney;1
1238;Broadway Tunnel (Broadway between Powell and Larkin);1
1239;Columbus and Green;1
1240;Broadway Tunnel;1
1241;Bernal Heights Boulevard;1
1242;Benu Restaurant, 22 Hawthorne Street;1
1243;Bentley Reserve, 301 Battery Street;1
1244;Belli Building (722 Montgomery Street at Washington);1
1245;Belgravia Apartments (795 Sutter Street at Jones);1
1246;Bechelli's Flower Market Café;1
1247;Bayview Police Station, 201 Williams Ave.;1
1248;Bayshore Blvd near Cesar Chavez (Bayview);1
1249;Bay St. at Polk;1
1250;Battery Street (The Embarcadero);1
1251;Battery Spencer;1
1252;Barbary Coast;1
1253;Bank of America Building (555 California Street, Financial District);1
1254;Bank of America (38th Street at Balboa Street);1
1255;Bank of America (1455 Stockton Street);1
1256;Balmy Street (Mission District);1
1257;Balboa pool Lot, San Jose Avenue & Havelock St;1
1258;Bernal Heights Neighborhood;1
1259;Berry Street between 3rd and 4th Streets;1
1260;Bessie Charmichael Elementary School (375 Seventh Street, SOMA);1
1261;Bowles Franklin Galleries (765 Beach Street, Fisherman's Wharf);1
1262;Broadway Studios (435 Broadway at Montgomery Street);1
1263;Broadway @ Jones Streets;1
1264;Broadway (North Beach);1
1265;Broadway & Taylor;1
1266;Broadway & Sansome;1
1267;Broadway & Columbus;1
1268;Boxer Stadium, 166 Havelock Street;1
1269;Boulevard Restaurant, 1 Mission St.;1
1270;Betelnut restaurant, 2030 Union St.;1
1271;Boardman Place between Bryant and Brannan Streets;1
1272;Blue Danube Café, 306 Clement;1
1273;Blooms Saloon (18th Street between Missouri and Texas Streets);1
1274;Blind Cat, 3050 24th Street, San Francisco;1
1275;Bimbo's 365 Club (1025 Columbus Avenue, North Beach);1
1276;Billy Goat Hill, Castro St. & 30th St.;1
1277;Bi-Rite Creamery, 3692 18th Stret;1
1278;California Palace of the Legion of Honor (34th Avenue & Clement, Lincoln Park);1
1279;California St and Gough btwn Geary and Jones;1
1280;California St at Montgomery St;1
1281;California St btwn Drumm and Sansome;1
1282;City Lights Books, 261 Columbus Ave;1
1283;City Light Bookstore (261 Columbus Avenue);1
1284;City Club (155 Sansome Street);1
1285;Citizens Band, 1198 Folsom Street;1
1286;Citicorp Center (1 Sansome Street at Sutter);1
1287;Church and Duboce Muni Station;1
1288;Church Street MUNI Station;1
1289;Church @ Duboce Street;1
1290;Christopher's Books (1400 18th Street);1
1291;Chinatown Gate;1
1292;Chinatown (Stockton @ Jackson & Jackson toward Grant;1
1293;Chestnut St. from Larkin to Columbus;1
1294;Chestnut & Divisadero Streets (Marina District);1
1295;Chaya / Perry's 132 Embarcadero;1
1296;Chateau Tivoli, 1057 Steiner St;1
1297;Chase H & Q  (1 Bush Street at Sansome);1
1298;Chambord Apartments (1298 Sacramento Street at Jones);1
1299;City Lights Bookstore (261 Columbus);1
1300;City Lights Bookstore, 261 Columbus Ave.;1
1301;Claire Lilienthal Elementary School;1
1302;Clement St. from 6th to 7th Ave.;1
1303;Columbus Avenue between Washington and Bay Streets;1
1304;Columbus Avenue at Green & Stockton;1
1305;Columbus & Pacific Ave;1
1306;Columbus & Lombard Streets (North Beach);1
1307;Coi Restaurant (373 Broadway);1
1308;Coffee Dan's (O'Farrell Street at Powell);1
1309;Clementina & Sumner Streets;1
1310;Clement St. from 5th and 7th Ave.;1
1311;Clarion Alley;1
1312;Clayton Post Office, 554 Clayton St.;1
1313;Clay between Stockton and Grant;1
1314;Clay St. at Taylor;1
1315;Clay St. at Sansome;1
1316;Claude Lane at Bush Street;1
1317;Clarion Alley between Valencia and Mission;1
1318;Clarion Alley between Valencia & Mission St.;1
1319;Cesar Chavez & Mission Street (Mission);1
1320;Central St between Haight and Page St;1
1321;Center for the Arts, Yerba Buena Gardens (701 Mission Street);1
1322;California and Jones St.;1
1323;California between Mason and Taylor St;1
1324;California between Leavenworth and Powell;1
1325;California between Kearney and Davis;1
1326;California at Mason;1
1327;California at Larkin;1
1328;California at Jones;1
1329;California at Grant;1
1330;California Street between Sansome & Davis;1
1331;Cameron House - 920 Sacramento St;1
1332;California Street between Front and Davis;1
1333;California Street Hill btwn Jones and Larkin;1
1334;California St. from Jones St. to Mason St.;1
1335;California St. between Drumm St. and Kearny St.;1
1336;California St from Taylor to Powell;1
1337;California St from Mason to Kearny;1
1338;California St btwn Mason and Leavenworth;1
1339;Cameron House (920 Sacramento Street);1
1340;Candlestick Park;1
1341;Cathedral Hill Hotel (1101 Van Ness Avenue, Civic Center);1
1342;Castro St. between 17th and 18th St.;1
1343;Castro and Market;1
1344;Castro and 18th St;1
1345;Castro Theatre (429 Castro Street, The Castro);1
1346;Castro Street between 17th & 18th;1
1347;Castro Street @ 18th street;1
1348;Castro St. from Market to 18th St.;1
1349;Castro St. between 21st an Hill St;1
1350;Castro District;1
1351;Candlestick Park Exit, Highway 101;1
1352;Castle between Union and Green;1
1353;Castle Street @ Green Street;1
1354;Castagnola's Restaurant (Fisherman's Wharf);1
1355;Casa Lucas Market at 2934 24th St;1
1356;Carnelian Room, Bank of America Building (555 California Street, 53rd Floor);1
1357;Carl & Cole Streets (Cole Valley);1
1358;Capital Restaurant, 839 Clay Street;1
1359;skyline/ exterior scenes;1
